연번,기관,공원종류,공원명,상세주소,공원면적(m),최초시설결정일,x좌표,y좌표
1,중구,근린공원,용두산공원,중구 광복동2가 1-2번지 일원,65620.1,총독부14호(1944.01.03),129.0322972,35.10050854
2,중구,근린공원,중앙공원,엄광산 일원(중구 대청동4가 1-1 일원 / 중구 서구 동구 부산진구 일원),3519615.6,건고535호(1986.12.02),128.807202,35.53447588
3,서구,근린공원,아미근린공원,서구 아미동2가 237-32번지 일원,16932.7,부고429호(2014.11.12),129.0101086,35.09982224
4,서구,근린공원,부민산공원,서구 서대신동1가 255-168 일원,215850,부고66호(2010.02.24),129.0144515,35.10625978
5,서구,근린공원,송도공원,서구 암남동 124-1번지 일원,102330.7,총독부14호(1944.01.03),129.0228004,35.07682165
6,서구,근린공원,암남공원,서구 암남동 산193번지 일원,535841,건고555호(1972.12.30),129.0161962,35.06088727
7,동구,근린공원,증산공원,동구 범일동 산81-28번지 일원,27126,건고535호(1986.12.02),129.0512891,35.13777163
8,동구,근린공원,부산진성공원,동구 범일동 590-5번지 일원,24084,총독부14호(1944.01.03),129.0612157,35.13616858
9,영도구,근린공원,동삼공원,영도구 동삼동 510-28번지,15995,부고452호(1991.01.05),129.0676133,35.07339836
10,영도구,근린공원,함지골공원,영도구 동삼동 산149-4번지 일원,144563,건고555호(1972.12.30),129.0541417,35.07571375
11,부산진구,근린공원,가야산책공원,부산진구 가야동 669-11번지 일원,14292,부고70호(1982.04.07),129.0273994,35.14779216
12,부산진구,근린공원,개금숲길공원,부산진구 개금동 56번지,28881,건고587호(1986.01.07),129.0266952,35.16130142
13,부산진구,근린공원,백양가족공원,부산진구 당감동 794-2번지,16375.3,부고349호(1995.01.07),129.0289063,35.17352281
14,부산진구,근린공원,화지공원,부산진구 양정동 산73-28번지 일원,391021,건고360호(1985.08.27),129.05991,35.17755104
15,부산진구,근린공원,시민공원,부산진구 연지동 60번지 일원,471581.4,부고217호(2004.08.19),129.0567721,35.16954645
16,부산진구,근린공원,양정공원,부산진구 전포동 109-1번지 일원,9146,총독부14호(1944.01.03),129.0681361,35.16795725
17,부산진구,근린공원,어린이대공원,부산진구 초읍동 43번지 일원,3597055,건고279호(1978.09.21),129.0416702,35.18589419
18,부산진구,근린공원,초연공원,부산진구 초읍동 산66-1번지 일원,35590,총독부14호(1944.01.03),129.0500478,35.17849232
19,부산진구,근린공원,돌산공원,부산진구 전포동 산65-3번지 일원,16631,총독부14호(1944.01.03),129.0706634,35.14907491
20,동래구,근린공원,연안수민공원,동래구 낙민동 83-12번지,1470.1,부고70호(1982.04.07),129.0934845,35.19544423
21,동래구,근린공원,낙민공원,동래구 낙민동 91-10번지 일원,5984.7,부고70호(1982.04.07),129.0964532,35.1955969
22,동래구,근린공원,동래사적공원,동래구 명륜동 137-4번지 일원,566147.5,건고555호(1972.12.30),129.0921917,35.21186444
23,동래구,근린공원,온천아파트,동래구 온천동 707 1777-1번지(럭키아파트 단지 내),12088,부고70호(1982.04.07),129.0764815,35.2095564
24,동래구,근린공원,온천공원,동래구 온천동 산201-1번지 일원,120576,부고114호(1995.05.16),129.0617178,35.20725623
25,남구,근린공원,평화공원,남구 대연동 706-5번지 일원,32015,부고236호(2004.09.02),129.1002825,35.12579285
26,남구,근린공원,대연공원,남구 대연동 1346-305번지 일원,6126,총독부14호(1944.01.03),129.0943823,35.13778031
27,남구,근린공원,우룡산공원,남구 대연동 산180 일원,28025,부고114호(1995.05.16),129.0822604,35.13074686
28,남구,근린공원,공원,남구 대연동 산191-2번지 일원,26839,부고75호(2025.02.26.),129.0859973,35.12554934
29,남구,근린공원,이기대공원,남구 용호동 산146번지 일원,1312701,건고535호(1986.12.02),129.1247867,35.10914085
30,남구,근린공원,용호공원,남구 용호동 176-21 외 2필지,10037,부고206호(1997.05.06),129.1147563,35.13233642
31,남구,근린공원,분포공원,남구 용호동 176-38 일원,13398,부고206호(1997.05.06),129.1081288,35.13141003
32,북구,근린공원,구포생태공원,북구 구포동 1250-18,7640,건고179호(1981.05.25),129.0116485,35.19436097
33,북구,근린공원,백양숲속공원,북구 구포동 1245,11852.6,건고179호(1981.05.25),129.0142414,35.19438572
34,북구,근린공원,금곡공원,북구 금곡동 100-1,11908.9,부고453호(1991.01.09),129.0164946,35.25944409
35,북구,근린공원,休공원,북구 덕천동 807,12741.1,부고403호(1988.12.23),129.0131333,35.20794355
36,북구,근린공원,덕천공원,북구 덕천동 산93번지 일원,155997,건고555호(1972.12.30),129.0073629,35.21692339
37,북구,근린공원,양달숲공원(화명3택지),북구 화명동 187,22525.4,부고2호(1992.02.25),129.0149062,35.24462021
38,북구,근린공원,명진공원(화명2택지),북구 화명동 2260번지,10000.6,부고253호(2001.10.12),129.0095336,35.23861735
39,북구,근린공원,현충공원(화명2택지),북구 화명동 2304,10002.1,부고253호(2001.10.12),129.0078024,35.22896245
40,북구,근린공원,수정공원(화명2택지),북구 화명동 2321번지,10015.5,부고253호(2001.10.12),129.0062975,35.22261329
41,북구,근린공원,공립수목원,북구 화명동 산11-5번지 일원,110653,부고234호(2005.08.24),129.0433562,35.25389045
42,북구,근린공원,화명공원,북구 화명동 918-2번지 일원,50919,부고114호(1995.05.16),129.0148229,35.22421802
43,북구,근린공원,화정공원,북구 화명동 2328번지,10051.1,부고292호(2005.10.19),129.0097387,35.22224473
44,해운대구,근린공원,명장공원,해운대구 반여동 산302번지 일원,779655,건고555호(1972.12.30),129.1128195,35.20778663
45,해운대구,근린공원,담안골공원(반송1지구근린),해운대구 반송동 882(반송택지개발지구),10099.3,부고451호(1991.01.09),129.1635409,35.22780196
46,해운대구,근린공원,초록공원,해운대구 반여3동 산110-2 일원,28006,부고480호(2009.12.23),129.1367085,35.20313535
47,해운대구,근린공원,반여공원,해운대구 반여동 1630,10429.9,부고52호(1999.03.06),129.1236684,35.19949103
48,해운대구,근린공원,아시아선수촌공원,해운대구 반여동 1634번지,12996.5,부고52호(1999.03.06),129.1235295,35.20273566
49,해운대구,근린공원,해운대수목원,해운대구 석대동 24번지 일원,633671,부고31호(2011.02.09),129.1350136,35.22991545
50,해운대구,근린공원,송정공원,해운대구 송정동 288-60번지 일원,49887,건고193호(1971.04.07),129.2053176,35.17953565
51,해운대구,근린공원,동래해운대공원,동래구 원동교~해운대구 운촌삼거리,133169,건고149호(1970.03.27),129.0796841,35.20494187
52,해운대구,근린공원,APEC나루공원,해운대구 우동 1494번지 일원,94807.7,부고199호(2000.08.10),129.125307,35.1709598
53,해운대구,근린공원,해운대공원,해운대구 중동 1411-14번지 일원,124740,건고609호(1968.10.07),129.1615342,35.15920516
54,해운대구,근린공원,동백공원,해운대구 우동 710-3번지 일원,146350,건고2705호(1966.09.01),129.1525399,35.15259508
55,해운대구,근린공원,장지공원,해운대구 우동 산84-1번지 일원,29083,건고555호(1972.12.30),129.1595153,35.17003552
56,해운대구,근린공원,반여제3공원,해운대구 재송동 산8-1번지,30410,부고2088호(1979.10.22),129.1220381,35.19316203
57,해운대구,근린공원,부흥공원,해운대구 좌동 1325번지,10736.7,부고251호(1992.08.06),129.181871,35.16888974
58,해운대구,근린공원,장산공원,해운대구 좌동 1371-1번지 일원,49245.6,부고251호(1992.08.06),129.166039,35.17633814
59,해운대구,근린공원,대천공원,해운대구 좌동 1381번지 일원,78153.8,부고251호(1992.08.06),129.1672366,35.18067823
60,해운대구,근린공원,오산공원,해운대구 중동 1762번지,19487.8,부고251호(1992.08.06),129.1730755,35.16633713
61,해운대구,근린공원,달맞이공원,해운대구 중동 990-5 일원,33427.3,해고484호(2002.06.24),129.1743704,35.15786026
62,해운대구,근린공원,반송공원,해운대구 반송동 844-2번지,89840,부고191호(2017.06.21),129.1616344,35.22145356
63,해운대구,근린공원,근린공원(1241),해운대구 반여동 543-1 일원,27010,부고450호(2022.11.30.),129.1247913,35.21226193
64,해운대구,근린공원,근린공원(1242),해운대구 반여동 22 일원,41750,부고450호(2022.11.30.),129.1279577,35.21456193
65,해운대구,근린공원,근린공원(1243),해운대구 반여동 20 일원,52078,부고450호(2022.11.30.),129.136209,35.21589197
66,해운대구,근린공원,근린공원(1244),해운대구 반여동 4 일원,56269,부고450호(2022.11.30.),129.1420759,35.2152282
67,해운대구,근린공원,근린공원(1245),해운대구 석대동 515-6 일원,17282,부고450호(2022.11.30.),129.1210958,35.21765751
68,해운대구,근린공원,근린공원(1246),해운대구 반송동 744-382 일원,17615,부고450호(2022.11.30.),129.1467626,35.22185816
69,사하구,근린공원,구평 근린공원,사하구 구평동 500,12291.8,부고289호(1996.12.10),128.9842137,35.08386495
70,사하구,근린공원,근린공원,사하구 다대동 370-23번지 일원,10000,부고436호(2023.12.6.),128.9750674,35.05045912
71,사하구,근린공원,아미산전망대공원,사하구 다대동 1548-1,10254.6,사하64호(2009.11.11),128.9607226,35.05267247
72,사하구,근린공원,아미산자생식물원,사하구 다대동 929번지 외 1,27969.3,부고23호(1983.01.26),128.9705076,35.06088787
