연번,구군,장비종류,관리번호,시설명칭,위도,경도
1,중구,생활방범,3250000-00001-0-1HA,0001-1-영주1동-영주1동주민센터_옆_사거리,35.110905,129.035121
2,중구,생활방범,3250000-00001-1-2HA,중구-0045_영주1동-영주1동주민센터_옆_사거리_고1,35.110905,129.035121
3,중구,생활방범,3250000-00001-2-2HA,중구-0045_영주1동-영주1동주민센터_옆_사거리_고2,35.110905,129.035121
4,중구,생활방범,3250000-00001-3-2HA,중구-0045_영주1동-영주1동주민센터_옆_사거리_고3,35.110905,129.035121
5,중구,생활방범,3250000-00001-4-2HA,중구-0045_영주1동-영주1동주민센터_옆_사거리_고4,35.110905,129.035121
6,중구,생활방범,3250000-00002-0-1DA,0002-1-보수동-숲속어린이집_옆_쉼터,35.103814,129.027592
7,중구,생활방범,3250000-00002-1-1DA,0002-1-보수동-숲속어린이집_옆_쉼터_고1,35.103814,129.027592
8,중구,생활방범,3250000-00002-2-1DA,0002-1-보수동-숲속어린이집_옆_쉼터_고2,35.103814,129.027592
9,중구,생활방범,3250000-00002-3-1DA,0002-1-보수동-숲속어린이집_옆_쉼터_고3,35.103814,129.027592
10,중구,생활방범,3250000-00003-0-1IA,0003-1-영주2동-중구노인복지관분관_옆_오거리,35.109886,129.032387
11,중구,생활방범,3250000-00003-1-2IA,중구-0149-영주2동-중구노인복지분관_옆_오거리_고1,35.109886,129.032387
12,중구,생활방범,3250000-00003-2-2IA,중구-0149-영주2동-중구노인복지분관_옆_오거리_고2,35.109886,129.032387
13,중구,생활방범,3250000-00003-3-2IA,중구-0149-영주2동-중구노인복지분관_옆_오거리_고3,35.109886,129.032387
14,중구,생활방범,3250000-00004-0-1IA,0004-1-영주2동-중구웰빙체육관_아래_계단,35.114466,129.03162
15,중구,생활방범,3250000-00005-0-1CA,0005-1-대청동-형수빌라_옆(대청두배로마트_맞은편),35.107105,129.030824
16,중구,생활방범,3250000-00006-0-1CA,0006-1-대청동-광일초등학교(정문옆_차량출입문),35.103467,129.029371
17,중구,생활방범,3250000-00006-1-2CA,중구-0118-대청동-광일초(정문옆_차량출입문)고1,35.103467,129.029371
18,중구,생활방범,3250000-00006-2-2CA,중구-0118-대청동-광일초(정문옆_차량출입문)고2,35.103467,129.029371
19,중구,생활방범,3250000-00006-3-2CA,중구-0118-대청동-광일초(정문옆_차량출입문)고3,35.103467,129.029371
20,중구,생활방범,3250000-00007-0-1CA,0007-1-대청동-남성초등학교_앞,35.103747,129.033342
21,중구,생활방범,3250000-00007-1-2CA,중구-0119-대청동-남성초등학교_앞_고1,35.103747,129.033342
22,중구,생활방범,3250000-00007-2-2CA,중구-0119-대청동-남성초등학교_앞_고2,35.103747,129.033342
23,중구,생활방범,3250000-00007-3-2CA,중구-0119-대청동-남성초등학교_앞_고3,35.103747,129.033342
24,중구,생활방범,3250000-00008-0-1HA,0008-1-영주1동-부산대영우편취급국_앞,35.112777,129.033583
25,중구,생활방범,3250000-00009-1-1HA,0009-1-영주1동-영주동_지하도_고1,35.11212,129.037284
26,중구,생활방범,3250000-00009-2-1HA,중구-0170-영주1동_영주지하보도_고1,35.11212,129.037284
27,중구,생활방범,3250000-00010-0-1FA,0010-1-광복동-용두산공원_정문(중앙성당_인근),35.101775,129.031763
28,중구,생활방범,3250000-00010-1-2FA,중구-0124-광복동-용두산공원_정문(중앙성당인근)고1,35.101775,129.031763
29,중구,생활방범,3250000-00010-2-2FA,중구-0124-광복동-용두산공원_정문(중앙성당인근)고2,35.101775,129.031763
30,중구,생활방범,3250000-00010-3-2FA,중구-0124-광복동-용두산공원_정문(중앙성당인근)고3,35.101775,129.031763
31,중구,생활방범,3250000-00011-0-1BA,0011-1-동광동-남성여고_정문_인근,35.10685,129.033419
32,중구,생활방범,3250000-00011-1-1BA,0011-1-동광동-대동맨션_앞_골목_고1,35.10685,129.033419
33,중구,생활방범,3250000-00011-3-2BA,중구-0022_남성여고정문앞_고1_남서(샘길25),35.10685,129.033419
34,중구,생활방범,3250000-00011-2-1BA,0011-1-동광동-대동맨션_앞_골목_고2,35.10685,129.033419
35,중구,생활방범,3250000-00011-4-2BA,중구-0022_남성여고정문앞_고2_동(샘길25),35.10685,129.033419
36,중구,생활방범,3250000-00011-5-2BA,중구-0022_남성여고정문앞_고3_북(샘길25),35.10685,129.033419
37,중구,생활방범,3250000-00012-0-1EA,0012-2-부평동-18K주점_앞(부평재단_앞),35.101882,129.023783
38,중구,생활방범,3250000-00012-1-2EA,중구-0029_18K주점앞_고1_서,35.101882,129.023783
39,중구,생활방범,3250000-00012-2-2EA,중구-0029_18K주점앞_고2_북,35.101882,129.023783
40,중구,생활방범,3250000-00012-3-2EA,중구-0029_18K주점앞_고3_남,35.101882,129.023783
41,중구,생활방범,3250000-00012-4-2EA,중구-0029_18K주점앞_고4_동,35.101882,129.023783
42,중구,생활방범,3250000-00013-0-1IA,0013-2-영주2동-영주어린이집,35.11176,129.029362
43,중구,생활방범,3250000-00013-1-1IA,0013-2-영주2동-영주어린이집_고1,35.11176,129.029362
44,중구,생활방범,3250000-00013-2-1IA,0013-2-영주2동-영주어린이집_고2,35.11176,129.029362
45,중구,생활방범,3250000-00013-3-1IA,0013-2-영주2동-영주어린이집_고3,35.11176,129.029362
46,중구,생활방범,3250000-00014-0-1IA,0014-2-영주2동-대청어린이집,35.110416,129.029568
47,중구,생활방범,3250000-00014-1-1IA,0014-2-영주2동-대청어린이집_고1,35.110416,129.029568
48,중구,생활방범,3250000-00014-2-1IA,0014-2-영주2동-대청어린이집_고2,35.110416,129.029568
49,중구,생활방범,3250000-00014-3-1IA,0014-2-영주2동-대청어린이집_고3,35.110416,129.029568
50,중구,생활방범,3250000-00015-0-1IA,0015-2-영주2동-다인유치원_앞,35.112529,129.0313
51,중구,생활방범,3250000-00015-1-2IA,중구-0049_다인유치원앞_고1_서(영주로54번길9-1),35.112529,129.0313
52,중구,생활방범,3250000-00015-2-2IA,중구-0049_다인유치원앞_고2_동(영주로54번길9-1),35.112529,129.0313
53,중구,생활방범,3250000-00015-3-2IA,중구-0049_다인유치원앞_고3_남동(영주로54번길9-1),35.112529,129.0313
54,중구,생활방범,3250000-00015-4-2IA,중구-0049_다인유치원앞_고4_북(영주로54번길9-1),35.112529,129.0313
55,중구,생활방범,3250000-00016-0-1BA,0016-2-동광동-동광세탁_맞은편(대동맨션_정문_인근),35.107008,129.035098
56,중구,생활방범,3250000-00016-1-2BA,중구-0024_대동맨션앞_고1_북동(동광길93번길6),35.107008,129.035098
57,중구,생활방범,3250000-00016-2-2BA,중구-0024_대동맨션앞_고2_남(동광길93번길6),35.107008,129.035098
58,중구,생활방범,3250000-00016-3-2BA,중구-0024_대동맨션앞_고3_동(동광길93번길6),35.107008,129.035098
59,중구,생활방범,3250000-00016-4-2BA,중구-0024_대동맨션앞_고4_북서(동광길93번길6),35.107008,129.035098
60,중구,생활방범,3250000-00017-0-1DA,0017-2-보수동-참존요양병원_인근_사거리,35.106796,129.023751
61,중구,생활방범,3250000-00017-1-2DA,중구-0136-보수동-참존요양병원_인근_사거리_고1,35.106796,129.023751
62,중구,생활방범,3250000-00017-2-2DA,중구-0136-보수동-참존요양병원_인근_사거리_고2,35.106796,129.023751
63,중구,생활방범,3250000-00017-3-2DA,중구-0136-보수동-참존요양병원_인근_사거리_고3,35.106796,129.023751
64,중구,생활방범,3250000-00018-0-1CA,0018-2-대청동-중구종합사회복지관_맞은편,35.105483,129.028003
65,중구,생활방범,3250000-00018-1-1CA,0018-2-대청동-중구종합사회복지관_맞은편_고1,35.105483,129.028003
66,중구,생활방범,3250000-00018-2-1CA,0018-2-대청동-중구종합사회복지관_맞은편_고2,35.105483,129.028003
67,중구,생활방범,3250000-00018-3-1CA,0018-2-대청동-중구종합사회복지관_맞은편_고3,35.105483,129.028003
68,중구,생활방범,3250000-00019-0-1AA,0019-2-중앙동-미광빌딩_앞(수해화원),35.106502,129.037536
69,중구,생활방범,3250000-00020-0-1HA,0020-2-영주1동-모자이크교회_앞,35.112777,129.035045
70,중구,생활방범,3250000-00020-1-2HA,중구-0043_모자이크교회앞_고1_남(초량상로6),35.112777,129.035045
71,중구,생활방범,3250000-00020-2-2HA,중구-0043_모자이크교회앞_고2_서(초량상로6),35.112777,129.035045
72,중구,생활방범,3250000-00020-3-2HA,중구-0043_모자이크교회앞_고3_동(초량상로6),35.112777,129.035045
73,중구,생활방범,3250000-00020-4-2HA,중구-0043_모자이크교회앞_고4_서(초량상로6),35.112777,129.035045
74,중구,생활방범,3250000-00021-0-1DA,0021-폐-보수동-남해슈퍼_주변,35.104916,129.027548
75,중구,생활방범,3250000-00022-0-1DA,0022-폐-보수동-해동빌라_주변(위길_산복도로),35.107263,129.026115
76,중구,생활방범,3250000-00023-0-1DA,0023-폐-보수동-체육공원_주변,35.108332,129.023613
77,중구,생활방범,3250000-00024-0-1DA,0024-폐-보수동-태성빌라_주변,35.107586,129.025646
78,중구,생활방범,3250000-00024-1-2DA,중구-0164-보수동_태성빌라_주변_고1,35.107586,129.025646
79,중구,생활방범,3250000-00024-2-2DA,중구-0164-보수동_태성빌라_주변_고2,35.107586,129.025646
80,중구,생활방범,3250000-00025-0-1BA,0025-폐-동광동-흥아거북맨션_주변(후문),35.108759,129.033664
81,중구,생활방범,3250000-00025-1-2BA,중구-0152-동광동-흥아거북맨션_주변(후문)_고1,35.108759,129.033664
82,중구,생활방범,3250000-00025-2-2BA,중구-0152-동광동-흥아거북맨션_주변(후문)_고2,35.108759,129.033664
83,중구,생활방범,3250000-00026-0-1BA,0026-폐-동광동-자율방범초소_주변,35.108771,129.034407
84,중구,생활방범,3250000-00026-1-2BA,중구-0153-동광동-자율방범초소_주변_고1,35.108771,129.034407
85,중구,생활방범,3250000-00026-2-2BA,중구-0153-동광동-자율방범초소_주변_고2,35.108771,129.034407
86,중구,생활방범,3250000-00026-3-2BA,중구-0153-동광동-자율방범초소_주변_고3,35.108771,129.034407
87,중구,생활방범,3250000-00027-0-1IA,0027-폐-영주2동-흥아거북맨션_주변(정문),35.109561,129.033398
88,중구,생활방범,3250000-00028-0-1AA,0028-3-중앙동-40계단길_아래,35.103868,129.034735
89,중구,생활방범,3250000-00028-1-2AA,중구-0181-중앙동-40계단길_아래_고1,35.103868,129.034735
90,중구,생활방범,3250000-00028-2-2AA,중구-0181-중앙동-40계단길_아래_고2,35.103868,129.034735
91,중구,생활방범,3250000-00028-3-2AA,중구-0181-중앙동-40계단길_아래_고3,35.103868,129.034735
92,중구,생활방범,3250000-00029-0-1BA,0029-3-동광동-백산기념관,35.101763,129.03437
93,중구,생활방범,3250000-00029-1-2BA,중구-0071-동광동-백산기념관_고1,35.101763,129.03437
94,중구,생활방범,3250000-00029-2-2BA,중구-0071-동광동-백산기념관_고2,35.101763,129.03437
95,중구,생활방범,3250000-00029-3-2BA,중구-0071-동광동-백산기념관_고3,35.101763,129.03437
96,중구,생활방범,3250000-00030-0-1CA,0030-3-대청동-유한빌라,35.105368,129.028856
97,중구,생활방범,3250000-00031-0-1EA,0031-3-부평동-보현어린이집_앞,35.102485,129.021402
98,중구,생활방범,3250000-00031-1-2EA,중구-0129-부평동-보현어린이집_앞_고1,35.102485,129.021402
99,중구,생활방범,3250000-00031-2-2EA,중구-0129-부평동-보현어린이집_앞_고2,35.102485,129.021402
100,중구,생활방범,3250000-00031-3-2EA,중구-0129-부평동-보현어린이집_앞_고3,35.102485,129.021402
101,중구,생활방범,3250000-00032-0-1DA,0032-3-보수동-노인복지회관주변(보수동책방골목_내),35.10346,129.026415
102,중구,생활방범,3250000-00033-0-1DA,0033-3-보수동-농심가할인마트_위(구덕터널_방향),35.108351,129.02278
103,중구,생활방범,3250000-00034-0-1DA,0034-3-보수동-태양빌라_앞,35.105824,129.026211
104,중구,생활방범,3250000-00035-0-1GA,0035-3-남포동-대신저축은행_남포동지점_앞,35.097369,129.025924
105,중구,생활방범,3250000-00035-1-2GA,중구-0062-남포동-대신저축은행_남포동지점_앞_고1,35.097369,129.025924
106,중구,생활방범,3250000-00035-2-2GA,중구-0062-남포동-대신저축은행_남포동지점_앞_고2,35.097369,129.025924
107,중구,생활방범,3250000-00035-3-2GA,중구-0062-남포동-대신저축은행_남포동지점_앞_고3,35.097369,129.025924
108,중구,생활방범,3250000-00036-0-1GA,0036-3-남포동-NH농협은행_자갈치역지점_뒤,35.097412,129.028232
109,중구,생활방범,3250000-00036-1-2GA,중구-0037_농협은행자갈치역지점뒤_고1_남(구덕로73),35.097412,129.028232
110,중구,생활방범,3250000-00036-2-2GA,중구-0037_농협은행자갈치역지점뒤_고2_북(구덕로73),35.097412,129.028232
111,중구,생활방범,3250000-00036-3-2GA,중구-0037_농협은행자갈치역지점뒤_고3_서(구덕로73),35.097412,129.028232
112,중구,생활방범,3250000-00036-4-2GA,중구-0037_농협은행자갈치역지점뒤_고4_동(구덕로73),35.097412,129.028232
113,중구,생활방범,3250000-00037-0-1GA,0037-3-남포동-중구관광안내소(옥상),35.097284,129.035714
114,중구,생활방범,3250000-00037-1-2GA,중구-0039_중구관광안내소_고1_서(용미길7번길8),35.097284,129.035714
115,중구,생활방범,3250000-00037-2-2GA,중구-0039_중구관광안내소_고2_북(용미길7번길8),35.097284,129.035714
116,중구,생활방범,3250000-00037-3-2GA,중구-0039_중구관광안내소_고3_남(용미길7번길8),35.097284,129.035714
117,중구,생활방범,3250000-00037-4-2GA,중구-0039_중구관광안내소_고4_남(용미길7번길8),35.097284,129.035714
118,중구,생활방범,3250000-00037-5-2GA,중구-0039_중구관광안내소_고5_북(용미길7번길8),35.097284,129.035714
119,중구,생활방범,3250000-00038-0-1AA,0038-3-중앙동-캐논코리아_앞,35.10655025,129.0353868
120,중구,생활방범,3250000-00038-1-1AA,0038-3-중앙동-캐논코리아_앞_고1,35.10655025,129.0353868
