연번,종별,의료기관명,대표자,도로명주소,위도,경도,전화번호,병상수,인허가일자
1,종합병원(상급종합병원),고신대학교복음병원,이상일,부산광역시 서구 감천로 262 (암남동),35.08029169,129.0157202,051-990-6114,840,1974-02-26
2,종합병원(상급종합병원),인제대학교부산백병원,백대욱,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.14645447,129.0205715,051-890-6114,776,1979-06-01
3,종합병원(상급종합병원),부산대학교병원,김해영,부산광역시 서구 구덕로 179 (아미동1가),35.10105418,129.0192221,051-240-7000,1040,1981-08-27
4,종합병원(상급종합병원),동아대학교병원,정휘위,부산광역시 서구 대신공원로 26 (동대신동3가),35.12000584,129.0176037,051-240-2400,885,1990-03-03
5,종합병원,학교법인 춘해병원,홍세희,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),35.14703698,129.0585477,051-638-8000,201,1974-02-26
6,종합병원,삼육부산병원,남수명,부산광역시 서구 대티로 170 (서대신동2가),35.11177721,129.0107498,051-242-9751,317,1974-03-07
7,종합병원,재단법인천주교부산교구유지재단 메리놀병원,손삼석,부산광역시 중구 중구로 121 (대청동4가),35.10758097,129.0324638,051-465-8801,399,1974-04-30
8,종합병원,대동병원,고경숙,부산광역시 동래구 충렬대로 187 (명륜동),35.20427317,129.0802155,051-554-1233,432,1980-02-21
9,종합병원,부산광역시의료원,이세용,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.18731265,129.0591792,051-507-3000,538,1982-06-30
10,종합병원,구포성심병원,박시환,부산광역시 북구 낙동대로 1786 (구포동),35.20971003,129.0045787,051-330-2001,243,1983-04-19
11,종합병원,의료법인 광혜의료재단 광혜병원,이광웅,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",35.20703333,129.0711361,051-503-2111,200,1983-12-07
12,종합병원,재단법인한호기독교선교회 일신기독병원,인명진,부산광역시 동구 정공단로 27 (좌천동),35.13550455,129.0545971,051-630-0300,162,1984-07-02
13,종합병원,의료법인 행도의료재단 해동병원,박은주,부산광역시 영도구 태종로 133 (봉래동3가),35.09194298,129.0438643,051-412-6161,265,1984-07-05
14,종합병원,의료법인정화의료재단 봉생기념병원,김남희,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.13085784,129.0505709,051-664-4000,419,1985-01-05
15,종합병원,좋은문화병원,문화숙,부산광역시 동구 범일로 119 (범일동),35.14072399,129.0590638,051-644-2002,299,1986-11-01
16,종합병원,비에이치에스한서병원,윤철수,부산광역시 수영구 수영로 615 (광안동),35.16104606,129.1128811,051-756-0081,299,1987-11-02
17,종합병원,학교법인)동의병원,이인옥,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",35.16992218,129.0767444,051-867-5101,471,1990-04-21
18,종합병원,동래봉생병원,정의화,부산광역시 동래구 안연로109번길 27 (안락동),35.19694648,129.0961666,051-531-6000,299,1990-06-01
19,종합병원,한국보훈복지의료공단 부산보훈병원,윤종진,부산광역시 사상구 백양대로 420 (주례동),35.15333437,129.0065651,051-601-6000,477,1992-05-11
20,종합병원,의료법인 은성의료재단 좋은삼선병원,구자성,부산광역시 사상구 가야대로 326 (주례동),35.15056774,129.0081979,051-322-0900,407,1995-03-30
21,종합병원,영도병원,정준환,부산광역시 영도구 태종로 85 (대교동2가),35.09224571,129.0405372,051-414-8101,277,1996-06-29
22,종합병원,의료법인 센텀의료재단 센텀종합병원,박종호,부산광역시 수영구 수영로 679번길 8(광안동),35.16682735,129.114425,051-750-5000,494,2002-12-02
23,종합병원,의료법인 인당의료재단 부민병원,정흥태,부산광역시 북구 만덕대로 59 (덕천동),35.21191432,129.0112123,051-330-3000,385,2003-01-02
24,종합병원,의료법인 은성의료재단 좋은강안병원,구자성,부산광역시 수영구 수영로 493 (남천동),35.15015906,129.1107244,051-625-0900,570,2005-02-23
25,종합병원,부산성모병원(재단법인 천주교부산교구유지재단),손삼석,부산광역시 남구 용호로232번길 25-14 (용호동),35.11045733,129.109192,051-933-7114,420,2006-06-02
26,종합병원,인제대학교 해운대백병원,백대욱,부산광역시 해운대구 해운대로 875 (좌동),35.17334314,129.1821812,051-797-0100,866,2010-02-10
27,종합병원,의료법인 온그룹의료재단 온병원,윤선희,"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",35.15787736,129.0499844,051-607-0133,700,2010-02-26
28,종합병원,동남권원자력의학원,이진경,부산광역시 기장군 장안읍 좌동길 40,35.32141899,129.2436492,051-720-5114,261,2010-04-14
29,종합병원,의료법인 인당의료재단 해운대부민병원,정흥태,부산광역시 해운대구 해운대로 584 (우동),35.16142041,129.1556561,051-602-8000,384,2015-07-09
30,종합병원,빌리브세웅병원,배익현,부산광역시 동래구 충렬대로 455 (안락동),35.2062368,129.0792318,051-500-1100,238,2024-03-18
